ciudad,ambiente,sitio,parche,planta,ID,ind1_gr,ind2_gr,ind3_gr,ind4_gr,ind5_gr,promedio,sla,tricomas,P_mg_Kg,C_porcentaje,K_Cmol_Kg,N_porcentaje,CN_ratio,C_porc_suelo,N_porc_suelo
mid,u,3,2,m2,mid_u32m2,0.0065,0.0067,NA,NA,NA,0.0066,31.969696969697,5.375,652.894675925926,35.633900493145,3.08974358974359,2.49504950495049,14.2818410706653,4.58,0.34
mid,u,4,1,m1,mid_u41m1,0.0035,0.0034,NA,NA,NA,0.00345,61.1594202898551,0.625,820.706896551724,40.7056103896104,5.51282051282051,3.13864306784661,12.969174738795,5.54,0.33
mid,u,4,1,m2,mid_u41m2,0.0057,0.0058,NA,NA,NA,0.00575,36.695652173913,2.375,566.920792079208,40.1171948051948,4.57692307692308,3.0089552238806,13.332599464028,5.61,0.25
mid,u,4,2,m1,mid_u42m1,0.0068,0.0071,NA,NA,NA,0.00695,30.3597122302158,2.375,906.967661691542,40.4702441558442,3.1025641025641,2.34613466334165,17.2497533019701,5.6,0.33
mid,u,4,2,m2,mid_u42m2,NA,NA,NA,NA,NA,NA,NA,NA,909.411483253589,36.5877937386778,4.01282051282051,2.52,14.5189657693166,5.31,0.43
mid,u,5,1,m1,mid_u51m1,NA,NA,NA,NA,NA,NA,NA,NA,692.209112149533,37.8815902046671,4.21794871794872,NA,NA,6.13,0.34
mid,u,5,1,m2,mid_u51m2,NA,NA,NA,NA,NA,NA,NA,NA,705.614155251142,37.6889752961609,2.29487179487179,NA,NA,7.31,0.4
mid,u,5,2,m1,mid_u52m1,0.005,0.0048,NA,NA,NA,0.0049,43.0612244897959,4.375,918.112745098039,40.5879272727273,5.24358974358974,1.82698961937716,22.2157404958678,6.55,0.37
mid,u,5,2,m2,mid_u52m2,0.004,0.0042,NA,NA,NA,0.0041,51.4634146341463,1,186.110294117647,37.8690929623736,3.84615384615385,2.26,16.7562358240591,3.33,0.3
tiz,r,1,1,m1,tiz_r11m1,0.0105,0.01,0.0122,0.009,0.0059,0.00952,22.1638655462185,6.35,602.122596153846,42.2788076734399,26.875,2.37931034482759,17.7693539497066,9.48,0.75
tiz,r,1,1,m2,tiz_r11m2,NA,NA,NA,NA,NA,NA,NA,NA,1365.93684210526,42.7724352570506,23.125,2.71641791044776,15.7458964957274,10.56,0.74
tiz,r,1,2,m1,tiz_r12m1,NA,NA,NA,NA,NA,NA,NA,NA,631.230392156863,47.7862054776906,26,2.19402985074627,21.7801072585392,8.39,0.33
tiz,r,1,2,m2,tiz_r12m2,NA,NA,NA,NA,NA,NA,NA,NA,565.484803921569,43.8073791020113,36.75,1.96551724137931,22.2879648062865,6.43,0.33
tiz,r,2,1,m1,tiz_r21m1,0.0078,0.0081,0.0084,0.0097,0.0086,0.00852,24.7652582159624,5.7,1550.31067961165,42.8034203420342,21,2.29850746268657,18.6222672916642,6.21,0.5
tiz,r,2,1,m2,tiz_r21m2,0.0133,0.0103,0.0066,0.0073,0.0093,0.00936,22.542735042735,6.05,843.078846153846,45.8917946864269,13.375,2.18316831683168,21.0207313529665,7.75,0.75
tiz,r,2,2,m1,tiz_r22m1,0.0094,0.0085,0.0079,0.0078,0.01,0.00872,24.197247706422,3.05,906.595215311005,45.9868664009258,11.375,2.08955223880597,22.0080003490145,7.86,0.67
tiz,r,2,2,m2,tiz_r22m2,0.0081,0.012,0.0113,0.0143,0.0108,0.0113,18.6725663716814,6.35,1450.93640776699,42.6882375498517,11.25,2.68965517241379,15.8712678069962,2.53,0.16
tiz,r,3,1,m1,tiz_r31m1,0.0076,0.0058,0.0113,0.0093,0.0094,0.00868,24.3087557603687,1,660.036842105263,41.8900056465274,17.125,2.29850746268657,18.2248725864762,3.86,0.27
tiz,r,3,1,m2,tiz_r31m2,NA,NA,NA,NA,NA,NA,NA,NA,542.065853658537,46.2636877973512,49,2.29850746268657,20.127708327419,6.83,0.67
tiz,r,3,2,m1,tiz_r32m1,NA,NA,NA,NA,NA,NA,NA,NA,569.7355,45.2135075140969,54,2.205,20.5049920698852,3.84,0.3
tiz,r,3,2,m2,tiz_r32m2,0.0103,0.0099,0.0092,0.0099,0.0092,0.0097,21.7525773195876,8.6,472.015238095238,48.1061778142806,46.375,1.87128712871287,25.7075341758854,5.06,0.47
tiz,r,4,1,m1,tiz_r41m1,NA,NA,NA,NA,NA,NA,NA,NA,714.236585365854,43.1657184085756,29.875,3.08823529411765,13.9774707227768,6.2,0.6
tiz,r,4,1,m2,tiz_r41m2,NA,NA,NA,NA,NA,NA,NA,NA,737.719617224881,44.8795808152244,40.875,2.92537313432836,15.3414893603063,3.43,0.13
tiz,r,4,1,m1,tiz_r42m1,NA,NA,NA,NA,NA,NA,NA,NA,906.595215311005,44.5525716347145,36.625,2.45853658536585,18.121581716501,13.19,1.23
tiz,r,4,2,m2,tiz_r42m2,NA,NA,NA,NA,NA,NA,NA,NA,530.008212560387,45.3359505305827,47.375,2.31,19.6259526106419,5.44,0.3
