"ciudad","ambiente","sitio","parche","planta","id","ind1_gr","ind2_gr","ind3_gr","ind4_gr","ind5_gr","promedio","sla"
"tiz","r","4","1","m1","tiz_r41m1",NA,NA,NA,NA,NA,NA,NA
"tiz","r","4","1","m2","tiz_r41m2",NA,NA,NA,NA,NA,NA,NA
"tiz","r","4","1","m1","tiz_r42m1",NA,NA,NA,NA,NA,NA,NA
"tiz","r","4","2","m2","tiz_r42m2",NA,NA,NA,NA,NA,NA,NA
"tiz","r","5","1","m1","tiz_r51m1",NA,NA,NA,NA,NA,NA,NA
"tiz","r","5","1","m2","tiz_r51m2",NA,NA,NA,NA,NA,NA,NA
"tiz","r","5","2","m1","tiz_r52m1",NA,NA,NA,NA,NA,NA,NA
"tiz","r","5","2","m2","tiz_r52m2",NA,NA,NA,NA,NA,NA,NA
"tiz","u","1","1","m1","tiz_u11m1",0.0073,0.007,0.0077,0.0096,0.0076,0.00784,26.9132653061224
"tiz","u","1","1","m2","tiz_u11m2",0.0055,0.0066,0.0048,0.0048,0.007,0.00574,36.7595818815331
"tiz","u","1","2","m1","tiz_u12m1",0.0056,0.0071,0.0064,0.0045,0.0047,0.00566,37.2791519434629
"tiz","u","1","2","m2","tiz_u12m2",0.0056,0.0068,0.0059,0.0063,0.0058,0.00608,34.7039473684211
"tiz","u","2","1","m1","tiz_u21m1",0.009,0.0098,0.0079,0.0064,0.006,0.00782,26.9820971867008
"tiz","u","2","1","m2","tiz_u21m2",0.0051,0.0079,0.0081,0.0095,0.0067,0.00746,28.28418230563
"tiz","u","2","2","m1","tiz_u22m1",NA,NA,NA,NA,NA,NA,NA
"tiz","u","2","2","m2","tiz_u22m2",NA,NA,NA,NA,NA,NA,NA
"tiz","u","3","1","m1","tiz_u31m1",0.0056,0.0081,0.0092,0.0067,0.0075,0.00742,28.4366576819407
"tiz","u","3","1","m2","tiz_u31m2",0.0057,0.0052,0.0051,0.0035,0.0061,0.00512,41.2109375
"tiz","u","3","2","m1","tiz_u32m1",NA,NA,NA,NA,NA,NA,NA
"tiz","u","3","2","m2","tiz_u32m2",NA,NA,NA,NA,NA,NA,NA
"tiz","u","4","1","m1","tiz_u41m1",NA,NA,NA,NA,NA,NA,NA
"tiz","u","4","1","m2","tiz_u41m2",NA,NA,NA,NA,NA,NA,NA
"tiz","u","4","2","m1","tiz_u42m1",NA,NA,NA,NA,NA,NA,NA
"tiz","u","4","2","m2","tiz_u42m2",NA,NA,NA,NA,NA,NA,NA
"tiz","u","5","1","m1","tiz_u51m1",0.0052,0.005,0.0049,0.0062,0.0056,0.00538,39.2193308550186
"tiz","u","5","1","m2","tiz_u51m2",0.0087,0.0083,0.0068,0.0078,0.0083,0.00798,26.4411027568922
"tiz","u","5","2","m1","tiz_u52m1",0.0054,0.0045,0.0041,0.004,0.0035,0.0043,49.0697674418605
"tiz","u","5","2","m2","tiz_u52m2",0.007,0.0056,0.0063,0.0059,0.0075,0.00646,32.6625386996904
"val","r","1","1","m1","val_r11m1",NA,NA,NA,NA,NA,NA,NA
"val","r","1","1","m2","val_r11m2",NA,NA,NA,NA,NA,NA,NA
"val","r","1","2","m1","val_r12m1",NA,NA,NA,NA,NA,NA,NA
"val","r","1","2","m2","val_r12m2",NA,NA,NA,NA,NA,NA,NA
"val","r","2","1","m1","val_r21m1",0.0042,0.0072,0.0081,0.0078,0.0069,0.00684,30.8479532163743
"val","r","2","1","m2","val_r21m2",0.0082,0.0101,0.0104,0.0107,0.0108,0.01004,21.0159362549801
"val","r","2","2","m1","val_r22m1",0.0094,0.0068,0.0105,0.0069,0.009,0.00852,24.7652582159624
"val","r","2","2","m2","val_r22m2",0.0106,0.0099,0.0091,0.0103,0.008,0.00958,22.0250521920668
"val","r","3","1","m1","val_r31m1",0.0067,0.0077,0.0056,0.0086,0.0101,0.00774,27.2609819121447
"val","r","3","1","m2","val_r31m2",0.011,0.0078,0.0141,0.0086,0.0093,0.01016,20.7677165354331
"val","r","3","2","m1","val_r32m1",0.008,0.0084,0.0079,NA,NA,0.0081,26.0493827160494
"val","r","3","2","m2","val_r32m2",0.0048,0.0044,0.0048,0.0056,0.0059,0.0051,41.3725490196078
"val","r","4","1","m1","val_r41m1",0.0091,0.0083,0.01,0.0106,0.0106,0.00972,21.7078189300412
"val","r","4","1","m2","val_r41m2",0.0068,0.0079,0.0074,0.0087,0.0086,0.00788,26.7766497461929
"val","r","4","1","m1","val_r42m1",0.0046,0.0052,0.0048,0.0045,0.0046,0.00474,44.5147679324895
"val","r","4","2","m2","val_r42m2",0.0077,0.0096,0.0081,0.0093,0.0067,0.00828,25.4830917874396
"val","r","5","1","m1","val_r51m1",NA,NA,NA,NA,NA,NA,NA
"val","r","5","1","m2","val_r51m2",NA,NA,NA,NA,NA,NA,NA
"val","r","5","2","m1","val_r52m1",NA,NA,NA,NA,NA,NA,NA
"val","r","5","2","m2","val_r52m2",NA,NA,NA,NA,NA,NA,NA
"val","u","1","1","m1","val_u11m1",0.0045,0.005,0.0053,0.0066,0.007,0.00568,37.1478873239437
"val","u","1","1","m2","val_u11m2",0.0112,0.0079,0.0108,0.0067,0.0091,0.00914,23.0853391684902
"val","u","1","2","m1","val_u12m1",0.0073,0.0059,0.005,0.0046,0.0057,0.0057,37.0175438596491
"val","u","1","2","m2","val_u12m2",0.0045,0.0051,0.0055,0.0043,0.0041,0.0047,44.8936170212766
"val","u","2","1","m1","val_u21m1",0.0061,0.007,0.0053,0.0063,0.0064,0.00622,33.9228295819936
"val","u","2","1","m2","val_u21m2",0.005,0.0044,0.0045,0.0034,0.0061,0.00468,45.0854700854701
"val","u","2","2","m1","val_u22m1",NA,NA,NA,NA,NA,NA,NA
"val","u","2","2","m2","val_u22m2",NA,NA,NA,NA,NA,NA,NA
"val","u","3","1","m1","val_u31m1",0.0098,0.008,0.0073,0.007,0.0078,0.00798,26.4411027568922
"val","u","3","1","m2","val_u31m2",0.0041,0.0046,0.0057,0.0042,0.0053,0.00478,44.1422594142259
"val","u","3","2","m1","val_u32m1",NA,NA,NA,NA,NA,NA,NA
"val","u","3","2","m2","val_u32m2",NA,NA,NA,NA,NA,NA,NA
"val","u","4","1","m1","val_u41m1",NA,NA,NA,NA,NA,NA,NA
"val","u","4","1","m2","val_u41m2",NA,NA,NA,NA,NA,NA,NA
"val","u","4","2","m1","val_u42m1",0.0072,0.0038,0.003,0.0038,0.0045,0.00446,47.3094170403587
"val","u","4","2","m2","val_u42m2",0.0096,0.011,0.0077,0.0081,0.0102,0.00932,22.6394849785408
"val","u","5","1","m1","val_u51m1",NA,NA,NA,NA,NA,NA,NA
"val","u","5","1","m2","val_u51m2",NA,NA,NA,NA,NA,NA,NA
"val","u","5","2","m1","val_u52m1",0.0054,0.0059,0.0048,0.0047,0.0054,0.00524,40.2671755725191
"val","u","5","2","m2","val_u52m2",0.0059,0.0052,0.0055,0.0063,0.0054,0.00566,37.2791519434629
