"ciudad"	"ambiente"	"sitio"	"parche"	"planta"	"ID"	"Leaf"	"uno"	"dos"	"tres"	"cuatro"	"leafMean"
"cam"	"u"	"2"	"2"	"m2"	"cam_u22m2"	4	6	3	8	6	5.75
"cam"	"u"	"2"	"2"	"m2"	"cam_u22m2"	5	6	0	10	3	4.75
"cam"	"u"	"3"	"1"	"m1"	"cam_u31m1"	1	8	6	9	0	5.75
"cam"	"u"	"3"	"1"	"m1"	"cam_u31m1"	2	9	4	4	14	7.75
"cam"	"u"	"3"	"1"	"m1"	"cam_u31m1"	3	5	27	12	16	15
"cam"	"u"	"3"	"1"	"m1"	"cam_u31m1"	4	9	4	5	5	5.75
"cam"	"u"	"3"	"1"	"m1"	"cam_u31m1"	5	1	2	3	4	2.5
"cam"	"u"	"3"	"1"	"m2"	"cam_u31m2"	1	1	2	1	1	1.25
"cam"	"u"	"3"	"1"	"m2"	"cam_u31m2"	2	3	0	1	1	1.25
"cam"	"u"	"3"	"1"	"m2"	"cam_u31m2"	3	5	7	2	0	3.5
"cam"	"u"	"3"	"1"	"m2"	"cam_u31m2"	4	0	5	5	2	3
"cam"	"u"	"3"	"1"	"m2"	"cam_u31m2"	5	0	0	1	3	1
"cam"	"u"	"3"	"2"	"m1"	"cam_u32m1"	1	1	2	1	10	3.5
"cam"	"u"	"3"	"2"	"m1"	"cam_u32m1"	2	1	3	1	0	1.25
"cam"	"u"	"3"	"2"	"m1"	"cam_u32m1"	3	13	7	3	9	8
"cam"	"u"	"3"	"2"	"m1"	"cam_u32m1"	4	1	3	3	3	2.5
"cam"	"u"	"3"	"2"	"m1"	"cam_u32m1"	5	9	7	9	10	8.75
"cam"	"u"	"3"	"2"	"m2"	"cam_u32m2"	1	3	2	4	0	2.25
"cam"	"u"	"3"	"2"	"m2"	"cam_u32m2"	2	0	0	0	2	0.5
"cam"	"u"	"3"	"2"	"m2"	"cam_u32m2"	3	1	2	6	0	2.25
"cam"	"u"	"3"	"2"	"m2"	"cam_u32m2"	4	1	0	1	3	1.25
"cam"	"u"	"3"	"2"	"m2"	"cam_u32m2"	5	1	1	9	8	4.75
"cam"	"u"	"4"	"1"	"m1"	"cam_u41m1"	1	3	9	2	5	4.75
"cam"	"u"	"4"	"1"	"m1"	"cam_u41m1"	2	7	23	20	7	14.25
"cam"	"u"	"4"	"1"	"m1"	"cam_u41m1"	3	12	9	10	5	9
"cam"	"u"	"4"	"1"	"m1"	"cam_u41m1"	4	1	7	0	1	2.25
"cam"	"u"	"4"	"1"	"m1"	"cam_u41m1"	5	13	8	17	9	11.75
"cam"	"u"	"4"	"1"	"m2"	"cam_u41m2"	1	5	6	8	9	7
"cam"	"u"	"4"	"1"	"m2"	"cam_u41m2"	2	7	8	4	7	6.5
"cam"	"u"	"4"	"1"	"m2"	"cam_u41m2"	3	12	9	10	5	9
"cam"	"u"	"4"	"1"	"m2"	"cam_u41m2"	4	11	3	5	8	6.75
"cam"	"u"	"4"	"1"	"m2"	"cam_u41m2"	5	3	6	1	8	4.5
"cam"	"u"	"4"	"2"	"m1"	"cam_u42m1"	1	3	2	8	2	3.75
"cam"	"u"	"4"	"2"	"m1"	"cam_u42m1"	2	1	0	0	0	0.25
"cam"	"u"	"4"	"2"	"m1"	"cam_u42m1"	3	0	2	0	2	1
"cam"	"u"	"4"	"2"	"m1"	"cam_u42m1"	4	3	2	0	2	1.75
"cam"	"u"	"4"	"2"	"m1"	"cam_u42m1"	5	3	0	0	0	0.75
"cam"	"u"	"4"	"2"	"m2"	"cam_u42m2"	1	1	4	5	4	3.5
"cam"	"u"	"4"	"2"	"m2"	"cam_u42m2"	2	1	0	0	1	0.5
"cam"	"u"	"4"	"2"	"m2"	"cam_u42m2"	3	1	1	0	2	1
"cam"	"u"	"4"	"2"	"m2"	"cam_u42m2"	4	6	2	3	1	3
"cam"	"u"	"4"	"2"	"m2"	"cam_u42m2"	5	0	0	0	0	0
"cam"	"u"	"5"	"1"	"m1"	"cam_u51m1"	1	9	4	5	6	6
"cam"	"u"	"5"	"1"	"m1"	"cam_u51m1"	2	0	0	0	0	0
"cam"	"u"	"5"	"1"	"m1"	"cam_u51m1"	3	1	2	0	1	1
"cam"	"u"	"5"	"1"	"m1"	"cam_u51m1"	4	2	2	4	0	2
"cam"	"u"	"5"	"1"	"m1"	"cam_u51m1"	5	3	1	1	0	1.25
"cam"	"u"	"5"	"1"	"m2"	"cam_u51m2"	1	7	3	6	10	6.5
"cam"	"u"	"5"	"1"	"m2"	"cam_u51m2"	2	1	1	6	1	2.25
"cam"	"u"	"5"	"1"	"m2"	"cam_u51m2"	3	6	14	7	12	9.75
"cam"	"u"	"5"	"1"	"m2"	"cam_u51m2"	4	4	1	4	0	2.25
"cam"	"u"	"5"	"1"	"m2"	"cam_u51m2"	5	1	5	6	3	3.75
"cam"	"u"	"5"	"2"	"m1"	"cam_u52m1"	1	13	8	10	7	9.5
"cam"	"u"	"5"	"2"	"m1"	"cam_u52m1"	2	7	1	7	2	4.25
"cam"	"u"	"5"	"2"	"m1"	"cam_u52m1"	3	0	1	1	3	1.25
"cam"	"u"	"5"	"2"	"m1"	"cam_u52m1"	4	6	7	1	2	4
"cam"	"u"	"5"	"2"	"m1"	"cam_u52m1"	5	8	13	11	6	9.5
"cam"	"u"	"5"	"2"	"m2"	"cam_u52m2"	1	1	3	4	4	3
"cam"	"u"	"5"	"2"	"m2"	"cam_u52m2"	2	0	3	0	0	0.75
"cam"	"u"	"5"	"2"	"m2"	"cam_u52m2"	3	3	3	5	0	2.75
"cam"	"u"	"5"	"2"	"m2"	"cam_u52m2"	4	8	11	10	9	9.5
"cam"	"u"	"5"	"2"	"m2"	"cam_u52m2"	5	2	6	2	7	4.25
"cun"	"r"	"1"	"1"	"m1"	"cun_r11m1"	1	13	17	16	NA	15.3333333333333
"cun"	"r"	"1"	"1"	"m1"	"cun_r11m1"	2	20	18	21	10	17.25
"cun"	"r"	"1"	"1"	"m1"	"cun_r11m1"	3	0	7	12	0	4.75
"cun"	"r"	"1"	"1"	"m1"	"cun_r11m1"	4	7	11	19	17	13.5
"cun"	"r"	"1"	"1"	"m1"	"cun_r11m1"	5	12	10	15	9	11.5
"cun"	"r"	"1"	"1"	"m2"	"cun_r11m2"	1	NA	NA	NA	NA	NA
"cun"	"r"	"1"	"1"	"m2"	"cun_r11m2"	2	NA	NA	NA	NA	NA
"cun"	"r"	"1"	"1"	"m2"	"cun_r11m2"	3	NA	NA	NA	NA	NA
"cun"	"r"	"1"	"1"	"m2"	"cun_r11m2"	4	NA	NA	NA	NA	NA
"cun"	"r"	"1"	"1"	"m2"	"cun_r11m2"	5	NA	NA	NA	NA	NA
"cun"	"r"	"1"	"2"	"m1"	"cun_r12m1"	1	3	2	0	0	1.25
"cun"	"r"	"1"	"2"	"m1"	"cun_r12m1"	2	1	1	0	2	1
"cun"	"r"	"1"	"2"	"m1"	"cun_r12m1"	3	1	2	1	1	1.25
"cun"	"r"	"1"	"2"	"m1"	"cun_r12m1"	4	26	4	10	15	13.75
"cun"	"r"	"1"	"2"	"m1"	"cun_r12m1"	5	1	29	13	0	10.75
"cun"	"r"	"1"	"2"	"m2"	"cun_r12m2"	1	7	9	5	5	6.5
"cun"	"r"	"1"	"2"	"m2"	"cun_r12m2"	2	3	8	6	4	5.25
"cun"	"r"	"1"	"2"	"m2"	"cun_r12m2"	3	7	9	4	1	5.25
"cun"	"r"	"1"	"2"	"m2"	"cun_r12m2"	4	7	4	1	3	3.75
"cun"	"r"	"1"	"2"	"m2"	"cun_r12m2"	5	12	5	6	4	6.75
"cun"	"r"	"2"	"1"	"m1"	"cun_r21m1"	1	0	0	1	1	0.5
"cun"	"r"	"2"	"1"	"m1"	"cun_r21m1"	2	3	5	3	3	3.5
"cun"	"r"	"2"	"1"	"m1"	"cun_r21m1"	3	7	0	10	1	4.5
"cun"	"r"	"2"	"1"	"m1"	"cun_r21m1"	4	10	2	6	4	5.5
"cun"	"r"	"2"	"1"	"m1"	"cun_r21m1"	5	0	0	0	0	0
"cun"	"r"	"2"	"1"	"m2"	"cun_r21m2"	1	0	2	9	1	3
"cun"	"r"	"2"	"1"	"m2"	"cun_r21m2"	2	3	4	0	0	1.75
"cun"	"r"	"2"	"1"	"m2"	"cun_r21m2"	3	2	4	4	4	3.5
"cun"	"r"	"2"	"1"	"m2"	"cun_r21m2"	4	0	0	0	0	0
"cun"	"r"	"2"	"1"	"m2"	"cun_r21m2"	5	7	13	7	8	8.75
"cun"	"r"	"2"	"2"	"m1"	"cun_r22m1"	1	6	1	1	9	4.25
"cun"	"r"	"2"	"2"	"m1"	"cun_r22m1"	2	3	6	0	0	2.25
"cun"	"r"	"2"	"2"	"m1"	"cun_r22m1"	3	2	0	1	1	1
"cun"	"r"	"2"	"2"	"m1"	"cun_r22m1"	4	0	4	1	0	1.25
"cun"	"r"	"2"	"2"	"m1"	"cun_r22m1"	5	2	3	3	4	3
"cun"	"r"	"2"	"2"	"m2"	"cun_r22m2"	1	24	2	3	15	11
"cun"	"r"	"2"	"2"	"m2"	"cun_r22m2"	2	6	3	2	6	4.25
"cun"	"r"	"2"	"2"	"m2"	"cun_r22m2"	3	3	0	0	0	0.75
"cun"	"r"	"2"	"2"	"m2"	"cun_r22m2"	4	6	23	18	12	14.75
"cun"	"r"	"2"	"2"	"m2"	"cun_r22m2"	5	2	3	4	1	2.5
"cun"	"r"	"3"	"1"	"m1"	"cun_r31m1"	1	6	14	15	14	12.25
"cun"	"r"	"3"	"1"	"m1"	"cun_r31m1"	2	31	8	4	8	12.75
"cun"	"r"	"3"	"1"	"m1"	"cun_r31m1"	3	6	4	11	7	7
"cun"	"r"	"3"	"1"	"m1"	"cun_r31m1"	4	7	3	1	28	9.75
"cun"	"r"	"3"	"1"	"m1"	"cun_r31m1"	5	4	4	6	8	5.5
"cun"	"r"	"3"	"1"	"m2"	"cun_r31m2"	1	7	1	3	5	4
"cun"	"r"	"3"	"1"	"m2"	"cun_r31m2"	2	3	4	7	5	4.75
"cun"	"r"	"3"	"1"	"m2"	"cun_r31m2"	3	3	1	6	5	3.75
"cun"	"r"	"3"	"1"	"m2"	"cun_r31m2"	4	3	5	7	0	3.75
"cun"	"r"	"3"	"1"	"m2"	"cun_r31m2"	5	13	19	13	10	13.75
"cun"	"r"	"3"	"2"	"m1"	"cun_r32m1"	1	3	3	0	1	1.75
"cun"	"r"	"3"	"2"	"m1"	"cun_r32m1"	2	1	4	6	1	3
"cun"	"r"	"3"	"2"	"m1"	"cun_r32m1"	3	11	4	3	2	5
"cun"	"r"	"3"	"2"	"m1"	"cun_r32m1"	4	2	1	4	8	3.75
"cun"	"r"	"3"	"2"	"m1"	"cun_r32m1"	5	1	2	0	4	1.75
"cun"	"r"	"3"	"2"	"m2"	"cun_r32m2"	1	2	2	1	0	1.25
"cun"	"r"	"3"	"2"	"m2"	"cun_r32m2"	2	7	7	1	12	6.75
"cun"	"r"	"3"	"2"	"m2"	"cun_r32m2"	3	1	4	6	10	5.25
"cun"	"r"	"3"	"2"	"m2"	"cun_r32m2"	4	12	17	6	6	10.25
"cun"	"r"	"3"	"2"	"m2"	"cun_r32m2"	5	3	20	6	2	7.75
"cun"	"r"	"4"	"1"	"m1"	"cun_r41m1"	1	NA	NA	NA	NA	NA
"cun"	"r"	"4"	"1"	"m1"	"cun_r41m1"	2	NA	NA	NA	NA	NA
"cun"	"r"	"4"	"1"	"m1"	"cun_r41m1"	3	NA	NA	NA	NA	NA
"cun"	"r"	"4"	"1"	"m1"	"cun_r41m1"	4	NA	NA	NA	NA	NA
"cun"	"r"	"4"	"1"	"m1"	"cun_r41m1"	5	NA	NA	NA	NA	NA
"cun"	"r"	"4"	"1"	"m2"	"cun_r41m2"	1	6	4	5	9	6
"cun"	"r"	"4"	"1"	"m2"	"cun_r41m2"	2	12	11	12	5	10
"cun"	"r"	"4"	"1"	"m2"	"cun_r41m2"	3	4	1	4	3	3
"cun"	"r"	"4"	"1"	"m2"	"cun_r41m2"	4	10	4	16	8	9.5
"cun"	"r"	"4"	"1"	"m2"	"cun_r41m2"	5	17	11	16	22	16.5
"cun"	"r"	"4"	"2"	"m1"	"cun_r42m1"	1	3	2	4	3	3
"cun"	"r"	"4"	"2"	"m1"	"cun_r42m1"	2	7	5	8	8	7
"cun"	"r"	"4"	"2"	"m1"	"cun_r42m1"	3	10	7	6	9	8
"cun"	"r"	"4"	"2"	"m1"	"cun_r42m1"	4	3	2	8	NA	4.33333333333333
"cun"	"r"	"4"	"2"	"m1"	"cun_r42m1"	5	0	3	2	0	1.25
"cun"	"r"	"4"	"2"	"m2"	"cun_r42m2"	1	NA	NA	NA	NA	NA
"cun"	"r"	"4"	"2"	"m2"	"cun_r42m2"	2	NA	NA	NA	NA	NA
"cun"	"r"	"4"	"2"	"m2"	"cun_r42m2"	3	NA	NA	NA	NA	NA
"cun"	"r"	"4"	"2"	"m2"	"cun_r42m2"	4	NA	NA	NA	NA	NA
"cun"	"r"	"4"	"2"	"m2"	"cun_r42m2"	5	NA	NA	NA	NA	NA
"cun"	"r"	"5"	"1"	"m1"	"cun_r51m1"	1	NA	NA	NA	NA	NA
"cun"	"r"	"5"	"1"	"m1"	"cun_r51m1"	2	NA	NA	NA	NA	NA
"cun"	"r"	"5"	"1"	"m1"	"cun_r51m1"	3	NA	NA	NA	NA	NA
"cun"	"r"	"5"	"1"	"m1"	"cun_r51m1"	4	NA	NA	NA	NA	NA
"cun"	"r"	"5"	"1"	"m1"	"cun_r51m1"	5	NA	NA	NA	NA	NA
"cun"	"r"	"5"	"1"	"m2"	"cun_r51m2"	1	19	30	21	17	21.75
"cun"	"r"	"5"	"1"	"m2"	"cun_r51m2"	2	21	18	15	31	21.25
"cun"	"r"	"5"	"1"	"m2"	"cun_r51m2"	3	11	20	16	13	15
"cun"	"r"	"5"	"1"	"m2"	"cun_r51m2"	4	28	24	19	11	20.5
"cun"	"r"	"5"	"1"	"m2"	"cun_r51m2"	5	18	11	23	10	15.5
"cun"	"r"	"5"	"2"	"m1"	"cun_r52m1"	1	NA	NA	NA	NA	NA
"cun"	"r"	"5"	"2"	"m1"	"cun_r52m1"	2	NA	NA	NA	NA	NA
"cun"	"r"	"5"	"2"	"m1"	"cun_r52m1"	3	NA	NA	NA	NA	NA
"cun"	"r"	"5"	"2"	"m1"	"cun_r52m1"	4	NA	NA	NA	NA	NA
"cun"	"r"	"5"	"2"	"m1"	"cun_r52m1"	5	NA	NA	NA	NA	NA
"cun"	"r"	"5"	"2"	"m2"	"cun_r52m2"	1	7	3	3	1	3.5
"cun"	"r"	"5"	"2"	"m2"	"cun_r52m2"	2	17	4	2	17	10
"cun"	"r"	"5"	"2"	"m2"	"cun_r52m2"	3	19	20	6	7	13
